model loaded successfully
/scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas

image 30/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-00.jpg: 1088x1920 1 Arruela eixo 32-46mm, 80.7ms
image 31/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-03.jpg: 1088x1920 1 Arruela eixo 41-85mm, 81.1ms
image 32/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-05.jpg: 1088x1920 1 Arruela eixo 41-85mm, 82.1ms
image 33/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-07.jpg: 1088x1920 1 Arruela eixo 41-85mm, 82.2ms
image 34/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-09.jpg: 1088x1920 1 Arruela eixo 32-46mm, 1 Arruela eixo 41-85mm, 81.7ms
image 35/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-12.jpg: 1088x1920 1 Arruela eixo 41-85mm, 81.8ms
image 36/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-17.jpg: 1088x1920 1 Arruela Dentada, 82.0ms
image 37/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-19.jpg: 1088x1920 1 Arruela Dentada, 81.3ms
image 38/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-23.jpg: 1088x1920 1 Arruela Dentada, 81.6ms
image 39/50 /scratch/global/jidsilva/testes_iluminacoes/PDPETRO/Experimento_luz/Img_Amb/Arruelas/2024-04-19_15-54-25.jpg: 1088x1920 1 Arruela Dentada, 80.9ms
